,date,year,month,day,weekday,weekday_name,weeknumber,is_weekend,is_business_day,is_holiday,holiday_name
338,2013-12-05,2013,12,5,4,Thursday,49,False,True,False,
339,2013-12-06,2013,12,6,5,Friday,49,False,True,False,
340,2013-12-07,2013,12,7,6,Saturday,49,True,False,False,
341,2013-12-08,2013,12,8,7,Sunday,49,True,False,False,
342,2013-12-09,2013,12,9,1,Monday,50,False,True,False,
343,2013-12-10,2013,12,10,2,Tuesday,50,False,True,False,
344,2013-12-11,2013,12,11,3,Wednesday,50,False,True,False,
345,2013-12-12,2013,12,12,4,Thursday,50,False,True,False,
346,2013-12-13,2013,12,13,5,Friday,50,False,True,False,
347,2013-12-14,2013,12,14,6,Saturday,50,True,False,False,
348,2013-12-15,2013,12,15,7,Sunday,50,True,False,False,
349,2013-12-16,2013,12,16,1,Monday,51,False,True,False,
350,2013-12-17,2013,12,17,2,Tuesday,51,False,True,False,
351,2013-12-18,2013,12,18,3,Wednesday,51,False,True,False,
352,2013-12-19,2013,12,19,4,Thursday,51,False,True,False,
353,2013-12-20,2013,12,20,5,Friday,51,False,True,False,
354,2013-12-21,2013,12,21,6,Saturday,51,True,False,False,
355,2013-12-22,2013,12,22,7,Sunday,51,True,False,False,
356,2013-12-23,2013,12,23,1,Monday,52,False,True,False,
357,2013-12-24,2013,12,24,2,Tuesday,52,False,True,False,
358,2013-12-25,2013,12,25,3,Wednesday,52,False,True,False,
359,2013-12-26,2013,12,26,4,Thursday,52,False,True,False,
360,2013-12-27,2013,12,27,5,Friday,52,False,True,False,
361,2013-12-28,2013,12,28,6,Saturday,52,True,False,False,
362,2013-12-29,2013,12,29,7,Sunday,52,True,False,False,
363,2013-12-30,2014,12,30,1,Monday,1,False,True,False,
364,2013-12-31,2014,12,31,2,Tuesday,1,False,True,False,
365,2014-01-01,2014,1,1,3,Wednesday,1,False,False,True,Новый год Novy god
366,2014-01-02,2014,1,2,4,Thursday,1,False,False,True,Новый год
367,2014-01-03,2014,1,3,5,Friday,1,False,False,True,Новый год
368,2014-01-04,2014,1,4,6,Saturday,1,True,False,True,Новый год
369,2014-01-05,2014,1,5,7,Sunday,1,True,False,True,Новый год
370,2014-01-06,2014,1,6,1,Monday,2,False,False,True,Новый год
371,2014-01-07,2014,1,7,2,Tuesday,2,False,False,True,Рождество Христово Rozhdestvo Khristovo
372,2014-01-08,2014,1,8,3,Wednesday,2,False,False,True,Новый год
373,2014-01-09,2014,1,9,4,Thursday,2,False,True,False,
374,2014-01-10,2014,1,10,5,Friday,2,False,True,False,
375,2014-01-11,2014,1,11,6,Saturday,2,True,False,False,
376,2014-01-12,2014,1,12,7,Sunday,2,True,False,False,
377,2014-01-13,2014,1,13,1,Monday,3,False,True,False,
378,2014-01-14,2014,1,14,2,Tuesday,3,False,True,False,
379,2014-01-15,2014,1,15,3,Wednesday,3,False,True,False,
380,2014-01-16,2014,1,16,4,Thursday,3,False,True,False,
381,2014-01-17,2014,1,17,5,Friday,3,False,True,False,
382,2014-01-18,2014,1,18,6,Saturday,3,True,False,False,
383,2014-01-19,2014,1,19,7,Sunday,3,True,False,False,
384,2014-01-20,2014,1,20,1,Monday,4,False,True,False,
385,2014-01-21,2014,1,21,2,Tuesday,4,False,True,False,
386,2014-01-22,2014,1,22,3,Wednesday,4,False,True,False,
387,2014-01-23,2014,1,23,4,Thursday,4,False,True,False,
388,2014-01-24,2014,1,24,5,Friday,4,False,True,False,
389,2014-01-25,2014,1,25,6,Saturday,4,True,False,False,
390,2014-01-26,2014,1,26,7,Sunday,4,True,False,False,
391,2014-01-27,2014,1,27,1,Monday,5,False,True,False,
392,2014-01-28,2014,1,28,2,Tuesday,5,False,True,False,
393,2014-01-29,2014,1,29,3,Wednesday,5,False,True,False,
394,2014-01-30,2014,1,30,4,Thursday,5,False,True,False,
395,2014-01-31,2014,1,31,5,Friday,5,False,True,False,
396,2014-02-01,2014,2,1,6,Saturday,5,True,False,False,
397,2014-02-02,2014,2,2,7,Sunday,5,True,False,False,
398,2014-02-03,2014,2,3,1,Monday,6,False,True,False,
399,2014-02-04,2014,2,4,2,Tuesday,6,False,True,False,
400,2014-02-05,2014,2,5,3,Wednesday,6,False,True,False,
401,2014-02-06,2014,2,6,4,Thursday,6,False,True,False,
402,2014-02-07,2014,2,7,5,Friday,6,False,True,False,
403,2014-02-08,2014,2,8,6,Saturday,6,True,False,False,
404,2014-02-09,2014,2,9,7,Sunday,6,True,False,False,
405,2014-02-10,2014,2,10,1,Monday,7,False,True,False,
406,2014-02-11,2014,2,11,2,Tuesday,7,False,True,False,
407,2014-02-12,2014,2,12,3,Wednesday,7,False,True,False,
408,2014-02-13,2014,2,13,4,Thursday,7,False,True,False,
409,2014-02-14,2014,2,14,5,Friday,7,False,True,False,
410,2014-02-15,2014,2,15,6,Saturday,7,True,False,False,
411,2014-02-16,2014,2,16,7,Sunday,7,True,False,False,
412,2014-02-17,2014,2,17,1,Monday,8,False,True,False,
413,2014-02-18,2014,2,18,2,Tuesday,8,False,True,False,
414,2014-02-19,2014,2,19,3,Wednesday,8,False,True,False,
415,2014-02-20,2014,2,20,4,Thursday,8,False,True,False,
416,2014-02-21,2014,2,21,5,Friday,8,False,True,False,
417,2014-02-22,2014,2,22,6,Saturday,8,True,False,False,
418,2014-02-23,2014,2,23,7,Sunday,8,True,False,True,День защитника Отечества Den zashchitnika Otechestva
419,2014-02-24,2014,2,24,1,Monday,9,False,True,False,
420,2014-02-25,2014,2,25,2,Tuesday,9,False,True,False,
421,2014-02-26,2014,2,26,3,Wednesday,9,False,True,False,
422,2014-02-27,2014,2,27,4,Thursday,9,False,True,False,
423,2014-02-28,2014,2,28,5,Friday,9,False,True,False,
424,2014-03-01,2014,3,1,6,Saturday,9,True,False,False,
